chain,result,count
motif:backward_pawn|double_attack|fork|pawn_break,failure,18
motif:backward_pawn|pawn_break,failure,16
motif:backward_pawn|double_attack|fork|king_attack|pawn_break,failure,1
motif:backward_pawn|double_attack|pawn_break,failure,4
motif:backward_pawn|battery|double_attack|fork|king_attack|open_file|pawn_break,failure,1
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,failure,13
motif:backward_pawn|isolated_pawn|king_attack|open_file,failure,1
motif:backward_pawn|double_attack|isolated_pawn,success,11
motif:backward_pawn|isolated_pawn,success,31
motif:backward_pawn|double_attack|fork|isolated_pawn,success,2
motif:backward_pawn|isolated_pawn|king_attack,success,8
motif:backward_pawn|battery|isolated_pawn|king_attack,success,2
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|rook_on_seventh,success,2
motif:backward_pawn|battery|isolated_pawn|open_file|pin,success,2
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_break,success,2
