chain,result,count
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,5282
motif:king_attack|open_file,draw,906
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,29
motif:backward_pawn|battery|pawn_chain,draw,103
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,612
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,105
motif:backward_pawn|isolated_pawn|open_file,draw,633
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,18
motif:king_attack|open_file|rook_on_seventh,draw,123
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,64
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,908
motif:backward_pawn|battery,draw,118
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,18
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,draw,13
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,92
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_chain,draw,137
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_chain,draw,34
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pin,draw,16
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,70
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break,draw,796
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain,draw,4
motif:backward_pawn|battery|double_attack|pawn_chain,draw,39
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,success,26
motif:backward_pawn|isolated_pawn|king_attack|open_file,success,273
motif:backward_pawn|battery|double_attack|pawn_chain|pin,draw,11
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,13
motif:backward_pawn|battery|pawn_chain,failure,17
motif:backward_pawn|battery|isolated_pawn|pawn_chain,failure,27
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_chain,failure,27
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,failure,37
motif:backward_pawn|isolated_pawn|king_attack|open_file,failure,26
motif:battery,draw,17
motif:backward_pawn|battery|doubled_pawn|pawn_chain,draw,361
motif:backward_pawn|battery|double_attack|doubled_pawn|pawn_chain,draw,65
motif:backward_pawn|battery|isolated_pawn,draw,15
motif:backward_pawn|battery|double_attack|fork|isolated_pawn,draw,8
motif:backward_pawn|battery|double_attack|isolated_pawn,draw,7
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break,draw,3
motif:backward_pawn|battery|isolated_pawn|pawn_break,draw,13
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,38
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,13
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,failure,40
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break,draw,491
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pin,draw,6
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file,draw,2
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break,draw,9398
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break,draw,11
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,13
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_break,draw,2
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,7
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,152
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pin,draw,12
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pin,draw,17
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin,draw,9
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file,draw,26
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,22
motif:backward_pawn|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,1
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pawn_break,draw,14
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,19
motif:battery|king_attack|open_file,draw,13
motif:backward_pawn|pawn_chain,draw,8
