chain,result,count
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,1526
motif:king_attack|open_file,draw,1098
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,240
motif:backward_pawn|battery|pawn_chain,draw,122
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,15
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,72
motif:backward_pawn|battery|double_attack|pawn_chain,draw,36
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,684
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,89
motif:backward_pawn|pawn_chain,draw,23
motif:backward_pawn|isolated_pawn|pawn_break|pawn_chain,draw,82
motif:backward_pawn|double_attack|fork|isolated_pawn|open_file|pawn_break,draw,17
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_chain,draw,302
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_chain,draw,15
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,112
motif:backward_pawn|battery|pawn_chain,failure,18
motif:backward_pawn|battery,draw,145
motif:battery,draw,170
motif:backward_pawn|isolated_pawn|open_file,draw,217
motif:backward_pawn|isolated_pawn|open_file|rook_on_seventh,draw,60
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,48
motif:king_attack|open_file|rook_on_seventh,draw,46
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_chain,draw,180
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,484
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,draw,4527
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,289
motif:backward_pawn|battery|double_attack|pawn_break,draw,53
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file,draw,1
motif:battery|king_attack|open_file,draw,132
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,152
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,15
motif:backward_pawn|battery|double_attack|fork|pawn_break,draw,16
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,150
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,161
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,failure,16
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,15
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break,draw,848
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break,success,131
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file,success,34
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,success,51
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,success,570
motif:backward_pawn|battery|double_attack|fork|isolated_pawn,draw,18
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file,draw,270
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|open_file,draw,7
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pin,draw,18
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pin,draw,11
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,76
motif:backward_pawn|battery|pawn_chain|pin,draw,707
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file,draw,36
motif:backward_pawn|battery|double_attack|fork|isolated_pawn,failure,5
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file,draw,36
motif:battery,success,48
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break,draw,58
motif:battery|double_attack|fork,success,1
motif:battery|double_attack|fork,draw,2
motif:backward_pawn|battery|double_attack,draw,6
motif:battery,failure,72
motif:battery|double_attack|fork,failure,1
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,failure,180
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file,failure,37
motif:backward_pawn|battery|double_attack|pawn_chain|pin,draw,522
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break,failure,276
motif:backward_pawn|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,12
motif:backward_pawn|isolated_pawn|open_file|pawn_break,draw,176
motif:backward_pawn|king_attack|open_file,draw,87
motif:king_attack|open_file|pin,draw,16
motif:backward_pawn|battery|doubled_pawn|pawn_chain,draw,57
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,153
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,140
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,12
motif:backward_pawn|battery|double_attack|fork|pawn_break,failure,11
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,failure,23
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,failure,18
motif:backward_pawn|double_attack|isolated_pawn|open_file|pawn_break,draw,24
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break|rook_on_seventh,draw,62
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,6
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file|pin,draw,16
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pin,draw,16
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,4
motif:backward_pawn|double_attack|isolated_pawn|open_file|rook_on_seventh,draw,19
motif:backward_pawn|isolated_pawn|open_file|pin|rook_on_seventh,draw,6
motif:backward_pawn|isolated_pawn|open_file|pin,draw,66
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_chain|pin,draw,8
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|rook_on_seventh,draw,75
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_chain,draw,2
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_chain,draw,6
motif:backward_pawn|double_attack|fork|isolated_pawn|king_attack|open_file,draw,3
motif:backward_pawn|battery|isolated_pawn|open_file,draw,55
motif:backward_pawn|battery|isolated_pawn|open_file|rook_on_seventh,draw,19
motif:backward_pawn|battery|open_file|pawn_chain,draw,28
motif:backward_pawn|battery|open_file,draw,1
motif:backward_pawn|battery|pawn_chain|pin,failure,31
motif:backward_pawn|battery|double_attack|pawn_chain|pin,failure,28
motif:backward_pawn|battery|double_attack|pawn_break,failure,49
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,failure,3
motif:backward_pawn|battery|double_attack|doubled_pawn|king_attack|open_file|pawn_chain,draw,10
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,21
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,44
motif:backward_pawn|double_attack|isolated_pawn|pawn_chain,draw,22
motif:backward_pawn|isolated_pawn|pawn_chain,draw,72
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_chain,draw,3
motif:backward_pawn|double_attack|fork|isolated_pawn|pawn_break,draw,2
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pin,draw,3
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pin|rook_on_seventh,draw,10
motif:backward_pawn|isolated_pawn|open_file|pawn_break|rook_on_seventh,draw,21
motif:backward_pawn|double_attack|isolated_pawn|open_file|pawn_break|pin|rook_on_seventh,draw,7
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_chain,draw,6
motif:backward_pawn|isolated_pawn|open_file|pawn_chain,draw,16
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,28
motif:backward_pawn|double_attack|isolated_pawn|open_file|pawn_chain,draw,3
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain,draw,5
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain|pin,draw,3
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_chain|pin,draw,3
motif:backward_pawn|battery|open_file|pawn_break|pawn_chain|pin,draw,10
motif:backward_pawn|battery|double_attack|open_file|pawn_break|pawn_chain|pin,draw,8
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_chain|pin,draw,12
motif:backward_pawn|battery,failure,14
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,failure,4
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|open_file,failure,4
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_chain,failure,28
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,failure,12
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,failure,57
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,failure,6
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,failure,11
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|rook_on_seventh,failure,1
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file,failure,4
motif:backward_pawn|isolated_pawn|open_file|rook_on_seventh,failure,6
motif:backward_pawn|isolated_pawn|open_file,failure,4
motif:backward_pawn|isolated_pawn|king_attack|open_file,failure,119
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,failure,1
motif:battery|pawn_chain,success,11
motif:backward_pawn|battery|pawn_break|pawn_chain|pin,success,16
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,success,46
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,success,173
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,success,18
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pawn_break,success,37
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,success,7
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,success,231
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break,success,9
motif:backward_pawn|battery|pawn_break|pawn_chain|pin,draw,166
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain|pin,draw,92
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain|pin,draw,171
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,50
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,23
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,38
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,672
motif:backward_pawn|double_attack|pawn_chain,draw,2
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,success,14
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,969
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,100
motif:backward_pawn|battery|pawn_break|pawn_chain,failure,8
motif:backward_pawn|battery|pawn_break|pawn_chain|pin,failure,13
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain|pin,failure,11
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,failure,106
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,failure,295
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,failure,25
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,failure,509
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_chain,failure,18
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file,failure,2
motif:backward_pawn|battery|king_attack|pawn_chain,draw,5
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_break,draw,16
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break,draw,3
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,19
motif:battery|pawn_chain,draw,128
motif:battery|double_attack|pawn_chain,draw,7
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file,draw,10
motif:backward_pawn|battery|king_attack|pawn_chain,failure,2
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,failure,22
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|open_file,failure,5
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file,failure,16
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pin,failure,2
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pawn_break,failure,198
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,failure,11
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,failure,2
motif:backward_pawn|battery|pawn_break,draw,54
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_chain,draw,19
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin,draw,611
motif:backward_pawn|battery|doubled_pawn,draw,13
motif:backward_pawn|battery|doubled_pawn|pawn_break,draw,1
motif:backward_pawn|battery|doubled_pawn|pawn_break|pawn_chain,draw,18
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|pawn_break|pawn_chain,draw,1
motif:backward_pawn|battery|double_attack|doubled_pawn|pawn_break|pawn_chain,draw,13
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,10
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,1
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,4
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,1
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pin,draw,1
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file,draw,13
motif:double_attack|king_attack|open_file|pin,draw,4
motif:backward_pawn|battery|doubled_pawn|isolated_pawn,draw,8
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break,draw,14
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break,draw,31
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|pawn_break|pawn_chain,draw,2
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break,draw,19
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,8
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pin,draw,2
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pin,draw,2
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,34
b:Kf7|w:Kb2,draw,1
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,5
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,5
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file|rook_on_seventh,draw,2
motif:backward_pawn|double_attack|isolated_pawn|open_file|pin|rook_on_seventh,draw,5
b:Kf7|w:Kc2,draw,1
b:Bb8|w:Kc1,draw,1
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pin,draw,37
w:Ke4|b:Kf7,draw,1
b:Kf7|w:Kd5,draw,1
w:Kc4|b:Kf8,draw,1
b:Kf8|w:Kd3,draw,1
b:Bc5|w:Kd3,draw,1
w:Kb4|b:Kf7,draw,1
w:Kd7|b:Kf7,draw,1
b:Kf7|w:Kc7,draw,2
w:Kc7|b:Kf8,draw,1
w:Kd8|b:Ba1,draw,1
w:Kd3|b:Kf5,draw,2
b:Kf5|w:Kc3,draw,1
w:Ka3|b:Kf4,draw,1
b:Kf4|w:Kb2,draw,2
w:Kb2|b:Kf3,draw,1
w:Kb1|b:Kf4,draw,1
w:Kb2|b:Kf5,draw,1
b:Kf5|w:Kb3,draw,1
w:Kb3|b:Kf6,draw,1
b:Kf5|w:Kc4,draw,3
w:Kc4|b:Kf6,draw,3
w:Kc5|b:Kf5,draw,1
b:Kf6|w:Kd3,draw,3
w:Kd3|b:Kf7,draw,3
b:Kf7|w:Kc4,draw,1
w:Kc3|b:Kf6,draw,1
b:Kf7|w:Ke2,draw,1
w:Kd6|b:Kf4,draw,1
w:Kf5|b:Ke2,draw,1
w:Kc4|b:Ke2,draw,1
w:Ka3|b:Qg2,draw,1
w:Kc2|b:Ke3,draw,1
w:Kb8|b:Ke8,draw,1
b:Kg8|w:Kb8,draw,1
w:Ke4|b:Kf7|w:Kd5,draw,1
w:Kc4|b:Kf8|w:Kd3,draw,1
w:Kd7|b:Kf7|w:Kc7,draw,1
w:Kb1|b:Kf4|w:Kb2,draw,1
b:Kf5|w:Kb3|b:Kf6,draw,1
b:Kf5|w:Kc4|b:Kf6,draw,2
w:Kc4|b:Kf6|w:Kd3,draw,1
b:Kf6|w:Kd3|b:Kf7,draw,2
