chain,result,count
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,9
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,16
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,5883
motif:king_attack|open_file,draw,275
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,23
motif:backward_pawn|battery|pawn_chain,draw,7491
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,6
motif:battery,draw,8
motif:backward_pawn|battery,draw,6
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,395
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,draw,115
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,6236
motif:backward_pawn|battery|double_attack|pawn_chain,draw,1374
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,30
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,success,133
motif:backward_pawn|battery|isolated_pawn|pawn_break|pawn_chain,draw,1
motif:king_attack|open_file|rook_on_seventh,draw,8
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,123
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain,draw,45
motif:backward_pawn|battery|pawn_break|pawn_chain,failure,3
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,5
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,85
motif:backward_pawn|battery|doubled_pawn|pawn_break|pawn_chain,draw,750
motif:backward_pawn|battery|double_attack|doubled_pawn|pawn_break|pawn_chain,draw,64
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,105
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,438
motif:backward_pawn|battery|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,9
motif:backward_pawn|battery|isolated_pawn|open_file|rook_on_seventh,draw,73
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|pawn_break|pawn_chain,draw,14
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,107
motif:backward_pawn|king_attack|open_file,draw,29
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,12
motif:backward_pawn|battery|pawn_chain,success,170
motif:backward_pawn|double_attack|fork|isolated_pawn|open_file|pawn_break,success,13
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|open_file|pawn_break|pawn_chain,draw,1437
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,339
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,15
motif:backward_pawn|king_attack|open_file|rook_on_seventh,draw,9
motif:backward_pawn|double_attack|isolated_pawn|pawn_break|pawn_chain,draw,376
motif:backward_pawn|battery|double_attack|pawn_chain,success,25
motif:backward_pawn|pawn_chain,success,48
motif:backward_pawn|isolated_pawn|pawn_break|pawn_chain,success,463
motif:backward_pawn|double_attack|isolated_pawn|pawn_break|pawn_chain,success,18
motif:backward_pawn|isolated_pawn|king_attack|open_file,success,51
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,success,14
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,success,10
motif:backward_pawn|pawn_chain,draw,2313
motif:backward_pawn|isolated_pawn|pawn_break|pawn_chain,draw,4357
motif:backward_pawn|double_attack|fork|isolated_pawn|open_file|pawn_break,draw,380
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,7
motif:backward_pawn|double_attack|fork|pawn_chain,draw,34
motif:backward_pawn|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,draw,66
motif:backward_pawn|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,1
motif:backward_pawn|double_attack|pawn_chain,draw,133
motif:backward_pawn|pawn_break|pawn_chain,draw,2
motif:backward_pawn|double_attack|isolated_pawn|open_file|pawn_break|pawn_chain,draw,7
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,16
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|open_file|pawn_break|pawn_chain,draw,8
motif:backward_pawn|battery|doubled_pawn|open_file|pawn_break|pawn_chain|rook_on_seventh,draw,15
motif:backward_pawn|doubled_pawn|open_file|pawn_break|pawn_chain|rook_on_seventh,draw,16
motif:backward_pawn|double_attack|doubled_pawn|fork|open_file|pawn_break|pawn_chain|rook_on_seventh,draw,2
motif:backward_pawn|battery|double_attack|doubled_pawn|open_file|pawn_break|pawn_chain,draw,2
