chain,result,count
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,985
motif:king_attack|open_file,draw,551
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,108
motif:backward_pawn|battery|pawn_chain,draw,140
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,6660
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,18
motif:backward_pawn|isolated_pawn|open_file,draw,1006
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,38
motif:king_attack|open_file|rook_on_seventh,draw,102
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,4
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,149
motif:backward_pawn|battery|doubled_pawn|pawn_chain,draw,6
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,110
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,draw,29
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,14
motif:backward_pawn|battery|pawn_break,draw,55
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,3
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,1
motif:backward_pawn|battery,draw,53
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,10
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain|pin,draw,65
motif:backward_pawn|battery|pawn_break,success,9
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,success,54
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break,draw,397
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_break,draw,37
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,15
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain,draw,47
motif:backward_pawn|pawn_break|pawn_chain,draw,70
motif:backward_pawn|double_attack|pawn_break|pawn_chain,draw,5
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,10
motif:backward_pawn|battery|pawn_break,failure,10
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_break,failure,11
motif:backward_pawn|battery|doubled_pawn|pawn_break|pin,draw,23
motif:backward_pawn|battery|double_attack|doubled_pawn|pawn_break|pin,draw,8
motif:backward_pawn|battery|doubled_pawn|pawn_break|pin,failure,17
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,draw,16
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,1552
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain|pin,draw,4
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_chain,draw,9
motif:backward_pawn|battery|isolated_pawn|pawn_chain,draw,2
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_chain,draw,198
motif:backward_pawn|battery|isolated_pawn|pawn_break|pawn_chain,draw,5
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_chain,draw,2
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_chain,draw,12046
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_chain|pin,draw,3
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|open_file|pawn_break|pawn_chain,draw,6
motif:backward_pawn|double_attack|doubled_pawn|open_file|pawn_chain,draw,2
motif:backward_pawn|doubled_pawn|king_attack|open_file|pawn_chain,draw,15
motif:backward_pawn|double_attack|doubled_pawn|king_attack|open_file|pawn_chain,draw,5
motif:backward_pawn|battery|pawn_break|pawn_chain,success,51
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_chain,success,12
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_chain,success,434
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_chain,success,154
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,12
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_chain,draw,3052
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_chain|pin,draw,1
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file,draw,16
motif:backward_pawn|double_attack|open_file|pawn_chain,draw,1
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,13
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain|pin,draw,10
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain|pin,draw,10
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,12
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,2
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,2
motif:battery|king_attack|open_file,draw,67
motif:battery|king_attack|open_file|rook_on_seventh,draw,23
motif:backward_pawn|battery|doubled_pawn|pawn_break,success,14
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|pawn_break,success,12
motif:backward_pawn|battery|double_attack|fork,draw,5
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break,draw,12
motif:backward_pawn|battery|doubled_pawn|open_file|pawn_break|pawn_chain,draw,1
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|open_file|pawn_break|pawn_chain,draw,20
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,13
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,4
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,20
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_chain|rook_on_seventh,draw,1
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_chain|rook_on_seventh,draw,4
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_chain|rook_on_seventh,draw,1
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,53
motif:backward_pawn|battery|isolated_pawn|open_file|rook_on_seventh,draw,3
motif:backward_pawn|isolated_pawn|open_file|rook_on_seventh,draw,3
motif:backward_pawn|isolated_pawn|open_file|pawn_break|rook_on_seventh,draw,3
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,3
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,3
motif:king_attack|open_file|pin|rook_on_seventh,draw,9
motif:backward_pawn|battery|doubled_pawn|isolated_pawn,draw,2
w:Ke1|b:Ke8,draw,1
w:Kd2|b:Rd8,draw,1
w:Kd2|b:Kd6,draw,1
w:Rg8|b:Re7,draw,1
w:Kd2|b:Nc2,draw,1
b:Rd8|w:Kd3,draw,1
b:Rc7|w:Kc2,draw,1
w:Ka1|b:Rd7,draw,1
w:Ka2|b:Kc7,draw,1
b:Rd7|w:Kc1,draw,1
w:Kc1|b:Kb7,draw,1
b:Kb7|w:Kb1,draw,3
w:Kb1|b:Kc7,draw,1
w:Kb1|b:Kb8,draw,1
b:Kb8|w:Ka2,draw,1
w:Kb1|b:Ka6,draw,1
b:Ka6|w:Ka2,draw,1
b:Rd7|w:Kb2,draw,1
b:Rg8|w:Kb2,draw,2
w:Kb2|b:Rg8,draw,1
w:Kc2|b:Ka6,draw,1
w:Ka2|b:Ka7,draw,2
b:Ka7|w:Kb2,draw,1
w:Kb2|b:Qa8,draw,1
w:Kb2|b:Rf8,draw,1
w:Kb2|b:Kb7,draw,1
w:Ka2|b:Qh1,draw,1
w:Kc3|b:Rh8,draw,1
b:Rh8|w:Kc2,draw,1
b:Qh1|w:Kb1,draw,1
b:Kc7|w:Ka3,draw,1
b:Rge8|w:Kb2,draw,1
w:Kc1|b:Kb7|w:Kb1,draw,1
w:Kb1|b:Kb8|w:Ka2,draw,1
w:Kb1|b:Ka6|w:Ka2,draw,1
w:Ka2|b:Ka7|w:Kb2,draw,1
w:Kc3|b:Rh8|w:Kc2,draw,1
