chain,result,count
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,72
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,42
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,14684
motif:king_attack|open_file,draw,392
motif:backward_pawn|battery|isolated_pawn|open_file,draw,3
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,94
motif:backward_pawn|isolated_pawn|open_file,draw,793
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin,draw,13
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,29
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,101
motif:backward_pawn|battery|pawn_chain,draw,983
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_chain,draw,22
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,48
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,19
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,17
motif:battery,draw,234
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,30
motif:king_attack|open_file|rook_on_seventh,draw,34
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,20
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,1
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,4
motif:backward_pawn|battery,draw,21
motif:backward_pawn|battery|doubled_pawn,draw,156
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file,draw,1417
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,success,6
motif:backward_pawn|battery|double_attack|doubled_pawn,draw,12
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file,draw,365
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,35
motif:backward_pawn|battery|double_attack|fork,draw,89
motif:backward_pawn|battery|doubled_pawn|pawn_break|pawn_chain,draw,1
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break,draw,4
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,109
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,draw,221
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain,draw,2
