chain,result,count
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,1680
motif:king_attack|open_file,draw,2138
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,91
motif:backward_pawn|battery|pawn_chain,draw,45
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,112
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,2793
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,15
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,232
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_chain,draw,42
motif:battery,draw,21
motif:backward_pawn|isolated_pawn|open_file,draw,1834
motif:backward_pawn|isolated_pawn|open_file|rook_on_seventh,draw,209
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,186
motif:king_attack|open_file|rook_on_seventh,draw,279
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,24
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,draw,29
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,280
motif:battery|king_attack|open_file,draw,128
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,499
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,17
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,145
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,9
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break,draw,12
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file,draw,796
motif:backward_pawn|battery|pawn_chain|pin,draw,14
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file,draw,54
motif:backward_pawn|battery|double_attack|pawn_chain|pin,draw,16
motif:backward_pawn|isolated_pawn|open_file|pawn_break,draw,68
motif:backward_pawn|king_attack|open_file,draw,68
motif:backward_pawn|battery|doubled_pawn|pawn_chain,draw,18
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,40
motif:backward_pawn|double_attack|isolated_pawn|open_file|pawn_break,draw,20
motif:backward_pawn|isolated_pawn|open_file|pin,draw,16
motif:backward_pawn|battery|isolated_pawn|open_file,draw,57
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,211
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,15
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain|pin,draw,47
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,36
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,51
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file,draw,30
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin,draw,211
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break,draw,37
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break,draw,21
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pin,draw,26
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pin,draw,238
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_chain,draw,5
motif:backward_pawn|battery|doubled_pawn|pawn_break,draw,952
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|pawn_break,draw,26
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pawn_break,draw,36
