chain,result,count
motif:backward_pawn|battery|pawn_break,draw,252
motif:backward_pawn|battery|double_attack|fork|pawn_break,draw,103
motif:backward_pawn|isolated_pawn|open_file|pawn_break|rook_on_seventh,draw,8
motif:backward_pawn|battery|isolated_pawn,draw,17
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file,draw,92
motif:backward_pawn|battery|isolated_pawn|open_file|rook_on_seventh,draw,40
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,335
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,621
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,889
motif:king_attack|open_file,draw,1193
motif:backward_pawn|battery|isolated_pawn|open_file,draw,171
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,305
motif:backward_pawn|isolated_pawn|open_file,draw,887
motif:battery|king_attack|open_file,draw,140
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin,draw,206
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|pawn_break,draw,26
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,332
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,19
motif:backward_pawn|battery|pawn_chain,draw,35
motif:backward_pawn|battery|double_attack|pawn_chain,draw,19
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_break|pawn_chain,draw,50
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break,draw,428
motif:backward_pawn|battery|pawn_break|pawn_chain,failure,1
motif:backward_pawn|battery|pawn_break,failure,17
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_chain,draw,64
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_chain,draw,4
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_chain,draw,16
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,34
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,38
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pin,draw,1
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pin,draw,17
motif:backward_pawn|double_attack|fork|pawn_break|pawn_chain,draw,548
motif:backward_pawn|double_attack|fork|isolated_pawn|open_file|pawn_break,draw,188
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pin,draw,3
motif:backward_pawn|pawn_break|pawn_chain,draw,7
motif:backward_pawn|isolated_pawn|open_file|pawn_break,draw,1
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,failure,15
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pin,failure,31
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,failure,74
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,9
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,3
motif:backward_pawn|double_attack|isolated_pawn|open_file|pawn_break,draw,13
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,72
motif:backward_pawn|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,9
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,244
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,53
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pin,failure,1
motif:backward_pawn|battery|double_attack|pawn_chain,failure,91
motif:backward_pawn|pawn_break|pawn_chain,failure,5
motif:backward_pawn|double_attack|fork|pawn_break|pawn_chain,failure,15
motif:backward_pawn|double_attack|fork|isolated_pawn|open_file|pawn_break,failure,16
motif:battery,draw,262
motif:battery|double_attack|fork,draw,17
