chain,result,count
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,3042
motif:king_attack|open_file,draw,2158
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,39
motif:backward_pawn|battery|pawn_chain,draw,286
motif:backward_pawn|battery|pawn_break|pawn_chain,draw,79
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,3053
motif:backward_pawn|battery|double_attack|fork|pawn_chain,draw,288
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file,draw,1823
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_chain,draw,32
motif:battery,draw,85
motif:backward_pawn|isolated_pawn|open_file,draw,63
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,48
motif:king_attack|open_file|rook_on_seventh,draw,170
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,92
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,draw,130
motif:battery|king_attack|open_file,draw,22
motif:backward_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,1427
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file,draw,25
motif:backward_pawn|king_attack|open_file,draw,159
motif:backward_pawn|battery|doubled_pawn|pawn_chain,draw,668
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,105
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,1
motif:backward_pawn|isolated_pawn|king_attack|open_file|pin,draw,15
motif:backward_pawn|battery|doubled_pawn|pawn_break,draw,8
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|open_file,draw,45
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,235
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,1
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file,draw,61
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,draw,59
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,71
motif:backward_pawn|battery|double_attack|pawn_chain,draw,259
motif:backward_pawn|battery|pawn_break,draw,77
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,548
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,42
motif:backward_pawn|battery|isolated_pawn,draw,19
motif:backward_pawn|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,1838
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,241
motif:backward_pawn|battery,draw,154
motif:backward_pawn|battery|double_attack|fork,draw,600
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|pawn_break|pawn_chain,draw,24
motif:backward_pawn|battery|double_attack|fork,success,17
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn,success,4
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,success,20
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn,draw,57
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,failure,18
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|pawn_chain,draw,12
motif:backward_pawn|battery|pawn_chain,success,33
motif:backward_pawn|battery|double_attack|pawn_chain,success,9
motif:backward_pawn|battery|pawn_chain,failure,61
motif:backward_pawn|battery|double_attack|pawn_chain,failure,338
motif:backward_pawn|battery|isolated_pawn|pawn_chain,draw,18
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_chain,draw,15
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,82
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,31
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|pawn_chain,draw,20
motif:backward_pawn|isolated_pawn|pawn_chain,draw,15
motif:backward_pawn|double_attack|fork|isolated_pawn|pawn_chain,draw,14
